column,missing_count,total_rows,missing_rate,missing_percent
pty,1250365,113740200,0.010993166883828233,1.0993166883828234
reh,1416611,113740200,0.012454796105510629,1.2454796105510628
rn1,1371257,113740200,0.012056045268075842,1.2056045268075843
t1h,1409881,113740200,0.012395626172628498,1.2395626172628498
uuu,1415568,113740200,0.012445626084708837,1.2445626084708836
vec,1353934,113740200,0.011903742036676566,1.1903742036676566
vvv,1459837,113740200,0.012834837638759207,1.2834837638759207
wsd,1542499,113740200,0.01356159915315781,1.356159915315781
x,0,113740200,0.0,0.0
y,0,113740200,0.0,0.0
