variable,mean_missing_rate,median_missing_rate,std_missing_rate,min_missing_rate,max_missing_rate,q25_missing_rate,q75_missing_rate,n_timepoints,n_over_threshold,pct_over_threshold,under_threshold_mean
ci_ci1_obj,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
fog,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
ci_ci2_obj,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
vgt_dqf1,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_bsa,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_bsa_b01,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_bsa_b02,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_bsa_b04,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_bsa_b06,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_bsa_b03,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_wsa,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_wsa_b04,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_wsa_b06,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_wsa_b02,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_wsa_b03,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
vgt_ndvi,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
vgt_evi,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_wsa_b01,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
qpn_probability,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
lwrad_dqf1,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_dqf1,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
sal_dqf2,100.0,100.0,0.0,100.0,100.0,100.0,100.0,1023,1023,100.0,False
aii_cape,99.98367975407824,100.0,0.13570948692167864,97.76937441643324,100.0,100.0,100.0,1023,1023,100.0,False
apps_daod11,99.96572666212136,100.0,0.13864741028080482,98.12978524743232,100.0,100.0,100.0,1023,1023,100.0,False
apps_daod055,99.96572666212136,100.0,0.13864741028080482,98.12978524743232,100.0,100.0,100.0,1023,1023,100.0,False
dcoew_liquid_path,95.82097837505808,100.0,8.945430843340587,48.406162464986,100.0,97.33706816059757,100.0,1023,1023,100.0,False
dcoew_radius,91.9945666112649,100.0,15.430191701601098,16.62371615312792,100.0,93.02054154995331,100.0,1023,1018,99.51124144672532,False
dcoew_thickness,91.9945666112649,100.0,15.430191701601098,16.62371615312792,100.0,93.02054154995331,100.0,1023,1018,99.51124144672532,False
apps_aep,84.49276445671133,100.0,25.384641727976238,13.453781512605042,100.0,74.24416433239963,100.0,1023,960,93.841642228739,False
apps_aod,84.49276445671133,100.0,25.384641727976238,13.453781512605042,100.0,74.24416433239963,100.0,1023,960,93.841642228739,False
fog_dqf,81.81818181818181,100.0,38.588325777612596,0.0,100.0,100.0,100.0,1023,837,81.81818181818183,False
ncot,81.80183510354289,89.46031746031747,19.654075471751554,9.719887955182074,100.0,69.63678804855275,98.21848739495798,1023,1004,98.1427174975562,False
lwrad_downward,81.13391984359727,100.0,39.1430295732164,0.0,100.0,100.0,100.0,1023,830,81.13391984359725,False
lwrad_upward,81.13391984359727,100.0,39.1430295732164,0.0,100.0,100.0,100.0,1023,830,81.13391984359725,False
lwrad_downward_dqf,81.13391984359727,100.0,39.1430295732164,0.0,100.0,100.0,100.0,1023,830,81.13391984359725,False
lwrad_upward_dqf,81.13391984359727,100.0,39.1430295732164,0.0,100.0,100.0,100.0,1023,830,81.13391984359725,False
swrad_absorbed,69.26993984299487,100.0,44.811118805599776,0.0,100.0,0.09430438842203545,100.0,1023,716,69.99022482893452,False
swrad_downward,69.2679263950611,100.0,44.81419313734157,0.0,100.0,0.0,100.0,1023,716,69.99022482893452,False
ctps_ctp,66.17568382843525,70.4341736694678,24.47138102821536,1.1503267973856208,100.0,47.56956115779646,88.36087768440709,1023,943,92.17986314760508,False
ctps_ctt,66.17568382843525,70.4341736694678,24.47138102821536,1.1503267973856208,100.0,47.56956115779646,88.36087768440709,1023,943,92.17986314760508,False
ctps_cth,66.17568382843525,70.4341736694678,24.47138102821536,1.1503267973856208,100.0,47.56956115779646,88.36087768440709,1023,943,92.17986314760508,False
tqprof_dqf1,59.82404692082111,100.0,49.04936137920827,0.0,100.0,0.0,100.0,1023,612,59.82404692082112,False
tqprof_t,59.82404692082111,100.0,49.04936137920827,0.0,100.0,0.0,100.0,1023,612,59.82404692082112,False
tqprof_q,59.82404692082111,100.0,49.04936137920827,0.0,100.0,0.0,100.0,1023,612,59.82404692082112,False
tqprof_dqf2,59.82404692082111,100.0,49.04936137920827,0.0,100.0,0.0,100.0,1023,612,59.82404692082112,False
